cf5	1	10001	2
cf6	1	10001	3
cf7	1	10001	1
cf8	1	10001	2
cf8	10001	20001	0
cf9	1	10001	3
cf9	10001	20001	1
cf10	1	10001	3
cf10	10001	20001	4
cf10	20001	30001	0
cf12	1	10001	3
cf12	10001	20001	0
cf13	1	10001	1
cf14	1	10001	1
cf15	1	10001	1
cf15	10001	20001	0
cf15	20001	30001	0
cf16	1	10001	6
cf16	10001	20001	0
cf17	1	10001	1
cf18	1	10001	1
cf18	10001	20001	0
cf18	20001	30001	1
cf19	1	10001	4
cf19	10001	20001	1
cf19	20001	30001	0
cf20	1	10001	2
cf20	10001	20001	1
cf20	20001	30001	2
cf21	1	10001	2
cf22	1	10001	2
cf23	1	10001	1
cf24	1	10001	3
cf24	10001	20001	2
cf24	20001	30001	3
cf24	30001	40001	1
cf24	40001	50001	0
cf25	1	10001	2
cf26	1	10001	4
cf26	10001	20001	1
cf26	20001	30001	1
cf26	30001	40001	2
cf26	40001	50001	1
cf27	1	10001	2
cf27	10001	20001	1
cf29	1	10001	2
cf29	10001	20001	4
cf29	20001	30001	3
cf29	30001	40001	2
cf30	1	10001	1
cf31	1	10001	2
cf31	10001	20001	0
cf33	1	10001	3
cf33	10001	20001	0
cf35	1	10001	4
cf36	1	10001	2
cf37	1	10001	4
cf37	10001	20001	0
cf38	1	10001	1
cf38	10001	20001	2
cf38	20001	30001	0
cf41	1	10001	4
cf41	10001	20001	3
cf43	1	10001	2
cf43	10001	20001	0
cf44	1	10001	2
cf44	10001	20001	4
cf46	1	10001	3
cf47	1	10001	2
cf48	1	10001	1
cf49	1	10001	2
cf49	10001	20001	3
cf49	20001	30001	2
cf49	30001	40001	0
cf50	1	10001	3
cf51	1	10001	2
cf51	10001	20001	0
cf54	1	10001	1
cf55	1	10001	3
cf56	1	10001	1
cf56	10001	20001	1
cf57	1	10001	1
cf59	1	10001	3
cf59	10001	20001	0
cf61	1	10001	3
cf61	10001	20001	1
cf61	20001	30001	0
cf62	1	10001	2
cf63	1	10001	2
cf63	10001	20001	1
cf63	20001	30001	4
cf63	30001	40001	0
cf64	1	10001	1
cf65	1	10001	3
cf65	10001	20001	0
cf66	1	10001	3
cf66	10001	20001	0
cf67	1	10001	2
cf70	1	10001	2
cf70	10001	20001	3
cf71	1	10001	2
cf71	10001	20001	1
cf74	1	10001	2
cf74	10001	20001	2
cf74	20001	30001	0
cf75	1	10001	3
cf75	10001	20001	1
cf75	20001	30001	1
cf75	30001	40001	1
cf76	1	10001	1
cf76	10001	20001	2
cf76	20001	30001	2
cf77	1	10001	1
cf77	10001	20001	0
cf78	1	10001	1
cf79	1	10001	2
cf79	10001	20001	1
cf80	1	10001	2
cf81	1	10001	1
cf81	10001	20001	1
cf82	1	10001	3
cf82	10001	20001	0
cf83	1	10001	2
cf84	1	10001	3
cf84	10001	20001	4
cf84	20001	30001	0
cf85	1	10001	2
cf85	10001	20001	2
cf85	20001	30001	0
cf86	1	10001	2
cf86	10001	20001	3
cf86	20001	30001	0
cf86	30001	40001	0
cf87	1	10001	1
cf87	10001	20001	3
cf87	20001	30001	3
cf87	30001	40001	5
cf87	40001	50001	5
cf87	50001	60001	4
cf87	60001	70001	2
cf87	70001	80001	3
cf87	80001	90001	2
cf87	90001	100001	1
cf87	100001	110001	3
cf87	110001	120001	1
cf87	120001	130001	1
cf88	1	10001	2
cf88	10001	20001	0
cf89	1	10001	2
cf90	1	10001	2
cf90	10001	20001	3
cf90	20001	30001	1
cf90	30001	40001	1
cf91	1	10001	1
cf93	1	10001	2
cf94	1	10001	2
cf94	10001	20001	0
cf95	1	10001	3
