1,369603
2,314801
3,298800
4,263722
5,242570
6,218735
7,209177
8,204073
9,188694
10,185831
11,181657
12,175382
13,172667
14,168153
15,156209
16,152626
17,149537
18,144609
19,141421
20,139565
21,135320
22,131388
23,130138
24,126750
25,123561
26,120895
27,116827
28,110241
29,107362
30,104681
31,103858
32,101392
33,99173
34,97295
35,95711
36,94349
37,91730
38,89176
39,87427
40,84961
41,83460
42,81988
43,79563
44,78499
45,77891
46,76663
47,74637
48,72682
49,71522
50,70504
51,68897
52,68017
53,67283
54,66637
55,64650
56,62648
57,61529
58,59759
59,59099
60,57971
61,56896
62,55529
63,54586
64,53005
65,51655
66,50447
67,48591
68,47206
69,46159
70,45232
71,44261
72,42970
73,41822
74,40729
75,39458
76,38335
77,37105
78,35415
79,34091
80,32484
81,31079
82,29906
83,28615
84,27510
85,25882
86,24477
87,23374
88,22415
89,20986
90,19531
91,18200
92,16735
93,15271
94,13926
95,12250
96,10867
97,9420
98,7654
99,5573
100,1917
